Sample,Particle Id,Group,Score,PM80-1 (µg/m3),Particle # conc. (#particle/m3),CmNormPM10-PM2.5 (µg/m3),Mass deposition (µg/cm2/s),Number deposition (#particles/cm2/s),MassMicrogram (µg),dAero  (µm),VolumeMicron3,AreaMicron2,AspectRatio,CentroidShift,Circularity,Compactness,Convexity,Count,Dispersion,ECDMicron,EEAMicron,EEBMicron,Eccentricity,Entropy,FractalDimH,FractalDimR,Glitch,Grain12,Grain3,Grain6,GrayKurt,GrayMean,GraySkew,GrayStd,InertiaRatio,Irregularity,JumpRatio,LengthMicron,PerimeterMicron,Porosity,Roundness,ShapeFactor,Solidity,WidthMicron,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es
ME22_TG_P1,99,Mineral,0.715,0.0365988059799412,3738.831057302468,0.029065386879807763,4.099272527556914e-16,0.00011306794026640328,9.788836515749632e-06,3.132,3.625,2.854,1.18,1.052,1.113,1.239,1.0,93907,1.521,1.906,1.048,0.872,0.531,6.464,1.069,1.008,0.795,0.498,0.0,0.124,0.289,0.404,-1.07,0.119,0.859,1.369,0.395,2.13,5.379,0,0.807,1.043,0.972,1.804,0,0,0,0,0,0.0,0.0,41.887,0.0,0,0.0,0.0,12.042,12.839,0.0,0.0,0.0,0,0.0,0.745,0,1.273,0.0,0.0,0.0,31.214,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME22_TG_P1,163,Mineral,0.999,0.02686344678170921,6939.788025290438,0.010047421928027742,1.6210307251540362e-16,0.00011306794026640328,3.870931890687676e-06,2.299,1.434,1.538,1.898,4.26,0.892,0.795,0.966,88169,0.677,1.399,1.012,0.503,0.85,6.373,1.111,1.033,0.38,0.0,0.0,0.231,-1.231,0.32,-0.239,0.11,0.829,2.583,0.297,2.02,4.931,0,1.258,1.726,0.849,1.064,0,0,0,0,0,0.0,0.0,51.123,0.0,0,3.632,0.0,13.174,23.274,0.0,0.0,0.0,0,0.572,8.225,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME22_TG_P1,164,Mineral,1.0,0.035581105708725635,3955.7678416169315,0.027123611270241592,3.7667288730307634e-16,0.00011306794026640328,8.994740625168174e-06,3.045,3.331,2.697,1.49,0.791,0.936,0.876,0.955,88857,1.506,1.853,1.211,0.746,0.742,6.761,1.134,1.029,0.033,0.0,0.033,0.132,-0.575,0.394,-0.394,0.122,0.863,2.153,0.225,2.509,6.219,0,1.141,1.493,0.84,1.683,0,0,0,0,0,16.669,0.0,50.313,0.0,0,0.0,0.0,0.596,1.291,0.0,0.879,0.0,0,0.0,30.252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME22_TG_P1,174,Mineral,0.993,0.023695134616604118,8919.721914007541,0.005705968273991793,1.112457894184157e-16,0.00011306794026640328,2.65648804357827e-06,2.028,0.984,1.196,1.495,0.597,1.003,1.006,0.971,85303,0.302,1.234,0.782,0.502,0.743,6.311,1.209,1.036,0.026,0.0,0.074,0.297,-0.814,0.326,-0.508,0.105,0.841,1.963,0.478,1.655,3.866,0,0.994,1.286,0.923,1.107,0,0,0,0,0,0.0,0.0,49.517,0.0,0,1.613,0.95,16.195,22.06,0.0,0.0,0.0,0,0.408,3.143,0,0.0,0.0,0.0,0.0,6.114,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME22_TG_P1,186,Mineral,0.999,0.03306565786855129,4580.525866286828,0.022053126591055437,3.022995804645307e-16,0.00011306794026640328,7.21874711196768e-06,2.83,2.674,2.329,1.721,1.102,0.966,0.932,0.97,109655,1.248,1.722,1.19,0.635,0.814,6.622,1.155,1.025,0.046,0.0,0.0,0.152,-1.068,0.365,-0.331,0.118,0.87,2.194,0.205,2.399,5.603,0,1.072,1.385,0.893,1.393,0,0,0,0,0,0.0,0.0,50.551,0.0,0,8.422,0.0,10.731,30.296,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME22_TG_P1,191,Mineral,0.971,0.02384874975188194,8805.184136856864,0.005878803304422563,1.1342345980557568e-16,0.00011306794026640328,2.708489610348466e-06,2.041,1.003,1.212,1.204,1.959,1.009,1.019,1.0,95480,0.329,1.242,0.689,0.581,0.557,6.551,1.192,1.025,0.091,0.0,0.073,0.293,-0.527,0.368,-0.237,0.122,0.835,1.618,0.64,1.384,3.866,0,0.982,1.249,0.871,1.149,0,0,0,0,0,0.0,0.0,39.378,0.0,0,0.542,5.785,3.779,20.661,0.0,0.0,0.0,0,0.364,6.95,0,0.0,0.0,0.0,0.0,22.54,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME22_TG_P1,198,Mineral,0.999,0.03694444003431631,3669.200962696411,0.029706450578527454,4.216511665663541e-16,0.00011306794026640328,1.006879710594175e-05,3.161,3.729,2.907,1.483,1.354,0.938,0.88,0.974,79411,1.596,1.924,1.295,0.743,0.739,6.536,1.192,1.019,0.032,0.0,0.031,0.122,-0.315,0.318,0.423,0.113,0.829,2.096,0.178,2.512,6.443,0,1.137,1.474,0.868,1.693,0,0,0,0,0,19.778,0.0,45.818,0.0,0,2.152,2.042,0.147,7.684,0.0,10.246,0.0,0,1.277,10.855,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME22_TG_P1,199,Mineral,0.998,0.029206077594696,5871.150404478209,0.014218474212013204,2.083174953352461e-16,0.00011306794026640328,4.9745067972401325e-06,2.499,1.842,1.818,1.29,1.317,0.79,0.624,0.889,70621,0.978,1.521,0.878,0.714,0.632,6.651,1.173,1.06,0.032,0.0,0.098,0.195,-1.026,0.305,0.21,0.121,0.835,2.55,0.241,2.149,6.051,0,1.603,1.813,0.746,1.665,0,0,0,0,0,6.418,0.0,48.7,0.0,0,2.585,1.22,3.59,0.512,0.0,12.227,0.0,0,9.805,9.544,0,0.0,0.0,0.0,0.0,5.399,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME22_TG_P1,244,Mineral,0.999,0.037827727062163786,3499.8479896123245,0.031299437918240254,4.526231696425355e-16,0.00011306794026640328,1.080839144283919e-05,3.237,4.003,3.048,1.792,0.972,0.85,0.722,0.908,90546,1.656,1.97,1.35,0.743,0.83,6.806,1.217,1.054,0.104,0.0,0.0,0.116,-0.974,0.351,-0.053,0.124,0.802,2.424,0.188,3.015,7.284,0,1.385,1.803,0.841,1.682,0,0,0,0,0,0.0,0.0,41.343,0.0,0,0.599,4.835,8.074,21.303,0.0,0.0,0.0,0,0.292,3.823,0,0.97,0.0,0.771,0.0,17.99,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME22_TG_P1,248,Mineral,0.836,0.05860417410848928,1458.1848293715473,0.055351663539473496,1.6830293551958341e-15,0.00011306794026640328,4.018981196899894e-05,5.015,14.885,7.315,1.308,1.869,0.945,0.894,0.972,115335,2.897,3.052,1.84,1.288,0.644,6.413,1.222,1.031,0.1,0.194,0.012,0.097,0.083,0.364,-0.647,0.093,0.915,1.698,0.172,3.526,10.141,0,1.119,1.4,0.878,2.697,0,0,0,0,0,0.0,0.0,51.771,0.0,0,0.292,0.0,1.144,45.773,0.0,0.0,0.0,0,0.085,0.0,0,0.0,0.0,0.0,0.0,0.935,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME22_TG_P1,250,Mineral,0.993,0.02315748164313174,9338.712781371247,0.005130705136210385,1.0384366955396764e-16,0.00011306794026640328,2.4797295071892574e-06,1.982,0.918,1.143,1.442,1.563,0.89,0.792,0.961,90492,0.323,1.206,0.828,0.481,0.721,6.212,1.261,1.046,0.058,0.0,0.078,0.311,-0.94,0.326,-0.454,0.101,0.853,2.419,0.348,1.694,4.258,0,1.263,1.647,0.802,1.174,0,0,0,0,0,0.0,0.0,45.066,0.0,0,1.311,0.713,19.543,24.617,0.0,0.0,0.0,0,0.823,0.715,0,0.0,0.0,0.0,0.0,7.211,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME22_TG_P1,253,Mineral,0.99,0.036272373817475834,3806.4288674943946,0.028451141075184566,3.9905612115161685e-16,0.00011306794026640328,9.52923989391462e-06,3.104,3.529,2.803,1.153,1.939,1.049,1.1,0.98,93196,1.498,1.889,1.001,0.898,0.497,6.541,1.09,1.02,0.62,0.507,0.0,0.127,-0.407,0.343,-0.654,0.108,0.837,1.328,0.556,2.162,5.659,0,0.909,1.083,0.94,1.875,0,0,0,0,0,0.0,0.0,48.704,0.0,0,1.016,0.347,20.544,25.522,0.0,0.0,0.0,0,3.867,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME22_TG_P1,263,Mineral,0.955,0.04573890652897165,2393.856537889205,0.04277872103692895,8.001351962925308e-16,0.00011306794026640328,1.9106786812422002e-05,3.914,7.077,4.458,1.163,0.163,0.989,0.979,0.97,84083,2.175,2.382,1.266,1.135,0.51,6.936,1.151,1.027,0.212,0.319,0.06,0.08,0.406,0.392,0.466,0.133,0.85,1.446,0.188,2.719,7.564,0,1.021,1.227,0.906,2.338,0,0,0,0,0,0.0,0.0,39.791,0.0,0,0.0,2.075,11.098,17.49,0.0,0.0,0.0,0,2.498,2.044,0,0.0,0.0,0.0,0.0,25.003,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME22_TG_P1,271,Mineral,0.333,0.06405751141085197,1220.476861576069,0.0596497423155785,2.1979420053967497e-15,0.00011306794026640328,5.2485641823746646e-05,5.482,19.439,8.74,1.089,0.416,1.12,1.254,1.0,69509,3.128,3.336,1.744,1.595,0.395,5.513,1.194,1.003,0.618,0.162,0.01,0.0,2.564,0.277,-0.974,0.05,0.915,1.17,0.175,3.495,9.357,0,0.797,1.003,0.981,3.21,0,0,0,0,0,0.0,0.0,72.46,0.0,0,0.901,1.106,0.0,0.0,0.0,0.723,0.0,0,8.887,15.923,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME22_TG_P1,280,Mineral,0.998,0.02692105245743839,6910.120280019002,0.010141122118128515,1.6314814642324826e-16,0.00011306794026640328,3.895887678725667e-06,2.304,1.443,1.545,1.729,0.467,0.836,0.7,0.894,83870,0.723,1.402,0.913,0.575,0.816,6.22,1.138,1.089,0.055,0.0,0.057,0.23,-0.868,0.273,-0.008,0.083,0.855,2.154,0.233,2.028,5.267,0,1.429,1.797,0.796,1.173,0,0,0,0,0,0.0,0.0,48.779,0.0,0,0.0,1.007,14.533,19.544,0.0,0.0,0.0,0,0.848,0.851,0,0.0,0.0,0.0,0.0,14.439,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
